Hugo_Symbol,count
ARHGAP29,16
GOLGA4,16
FER1L6,16
NRXN3,16
LRPPRC,16
COL4A6,16
SLC12A5,16
BSN,16
VWA3B,16
FAM186A,16
TNC,16
ROS1,16
ZNF592,16
DIP2A,16
ROBO2,16
UBR2,16
STAB1,16
ARHGAP5,16
TSC22D1,16
NCOA6,16
PTCH1,15
BAI3,15
LRRC41,15
RBMX,15
LINGO2,15
TTC3,15
MEFV,15
HIVEP3,15
EEA1,15
MYLK,15
FAM5C,15
SIPA1L2,15
SRGAP1,15
LETM1,15
GRM3,15
BACH2,15
GREB1L,15
MTM1,15
MAP3K5,15
BCR,15
TEK,15
KIAA0825,15
CSPG4,15
ENAM,15
ZNFX1,15
NOTCH3,15
PRIC285,15
DDR2,15
CCDC108,15
ABCC9,15
POTEE,15
ABCA3,15
PCDHB16,15
PCDHGB1,15
PHF8,15
EML5,15
UBE4B,15
ESPL1,15
DOCK9,15
ZP4,15
DENND4B,15
SLC4A11,15
ANKRD27,15
TDRD6,15
FOLH1,15
NIN,15
CASP8AP2,15
CFTR,15
CDK5RAP2,15
SSC5D,15
TNR,15
COBLL1,15
CEP192,15
SPAG17,15
MAS1L,15
SMC1A,15
MAST1,15
CNOT3,15
TNRC6C,15
GNAS,15
SIGLEC1,15
LTBP1,15
KIAA0195,15
IQSEC2,15
ACE,15
ROBO1,15
RAPGEF6,15
NEDD9,15
ZMYM4,15
NLRC4,15
CRYBG3,15
ALK,15
ATR,15
GCC2,15
WDR13,15
NCKAP5,15
ERBB2IP,15
MYO5A,15
CENPF,15
QRICH2,15
COPA,15
ALS2CR11,15
CNTNAP3B,15
ARHGEF12,15
TBC1D3P5,15
DIP2C,15
CHD2,15
ARHGEF15,15
FAM47B,15
MYH2,15
MYO18A,15
PRX,15
TGS1,15
TBC1D4,15
PRPF8,15
AFF1,15
FRMD4A,15
FCRL5,15
CUL7,15
ATP7A,15
ARID2,15
PKDREJ,15
STAT6,15
KIAA1755,15
NBAS,15
LOXHD1,15
CDH26,15
KCNT2,15
COL5A3,15
ADAM21P1,15
PXDN,15
CPS1,15
AIM1,15
CDK12,15
ITGA10,15
SDHAP1,15
KIAA1731,15
GRIN3A,15
CNTN6,15
IKBKAP,15
DSE,15
PHF3,15
SBF1,15
CNTN1,15
CNTNAP1,15
CACNA1S,15
PCDHA1,15
NINL,15
DUOX1,15
SHANK1,15
PCDHA8,14
PTPRU,14
AAK1,14
C9orf43,14
NPHP4,14
C4orf21,14
ALS2,14
PPP1R9A,14
RB1CC1,14
PCDHGA3,14
TIAM2,14
LAMB2,14
SRPR,14
CARD11,14
PLXNB2,14
ZNF687,14
CASP8,14
POLR2A,14
MYO15A,14
NFATC4,14
KIAA1549L,14
RBBP6,14
TMEM131,14
MYH4,14
KDM5B,14
FAM179B,14
ITSN2,14
BAZ1B,14
IFT172,14
MLL5,14
COL1A2,14
C9orf84,14
CEP170,14
INADL,14
SLIT2,14
IQGAP3,14
KIAA0368,14
ADD2,14
HIVEP2,14
CYP2A13,14
CDH8,14
WDR17,14
ARFGEF2,14
CCDC88C,14
ADAMTS12,14
ATP2B3,14
SCAF8,14
PRKCE,14
DOT1L,14
EVPL,14
ZNF831,14
POLR1A,14
IGF2R,14
NUP98,14
DENND5B,14
PCDH18,14
COL16A1,14
ANKRD20A4,14
ANKHD1,14
A2ML1,14
AMPD1,14
MTUS2,14
PASK,14
TNS3,14
PER1,14
WDR7,14
KIAA0100,14
ITGA8,14
RIPK1,14
ADGB,14
MYH14,14
RGS7,14
COPB2,14
SEMA5A,14
PIKFYVE,14
PTCHD1,14
PCDHGB4,14
ABCC4,14
PHLDB1,14
PCDHA11,14
PPFIA2,14
OTOG,14
LAMB1,14
LRRC16A,14
TNIK,14
TMEM247,14
OBSL1,14
DOCK2,14
VWA8,14
SUCO,14
LRRC7,14
PCDHGA2,14
BAZ1A,14
NID2,14
SUPT5H,14
ZNF540,14
COL4A1,14
ZNF469,14
TRIP12,14
C1orf101,14
FGD5,14
PHIP,14
TRIP11,14
TNKS1BP1,14
MAGEA12,14
C10orf12,14
MAGI3,14
CAMSAP2,14
PIEZO2,14
PCDHB6,14
TNN,14
COL4A4,14
L1CAM,14
HIPK2,14
CNTN4,14
RET,14
KIAA2018,14
CDC42BPB,14
ENPP2,14
SMARCA4,14
HIST1H3B,14
PCDHB18,14
MTPAP,14
GPR116,14
GPR64,14
ITGB2,14
MIS18BP1,14
ATAD2B,14
NFASC,14
TCF4,14
MAP4K4,14
DISP1,14
WWC3,14
HEATR8,14
ODF2,14
CRNKL1,14
TET3,13
UTP20,13
KIF14,13
GPRASP1,13
AP1B1,13
WDR33,13
ZC3H12B,13
SMCHD1,13
NELL1,13
TMC2,13
ADNP2,13
ANKRD17,13
SNCAIP,13
ZMYM2,13
CCDC147,13
ANKRD28,13
LILRA1,13
IGFN1,13
CYFIP2,13
IL1RAPL1,13
ANPEP,13
PLXNB3,13
MAMLD1,13
LZTR1,13
ACTN3,13
MAML3,13
MED14,13
SH3PXD2A,13
ANKRD36,13
LTBP4,13
GRID2,13
CDKN1B,13
PLCB1,13
PLEKHH1,13
PLEKHH2,13
DNMT1,13
C20orf26,13
ZNF41,13
CCDC150,13
CTTNBP2,13
CASR,13
SHPRH,13
ARAP3,13
BLM,13
GTSE1,13
MUSK,13
SIDT2,13
PLEKHG1,13
AUTS2,13
RNF123,13
HECTD1,13
LAMA4,13
WDR72,13
XPO5,13
KIAA1217,13
CCDC155,13
FAM86B1,13
ADAMTS6,13
AKAP11,13
INSR,13
MSH6,13
SMG6,13
KIFC1,13
RFC1,13
ANKRD30A,13
FAM86B2,13
ABCC1,13
DLC1,13
PTPRF,13
SGIP1,13
DYRK1A,13
SLITRK2,13
NAALADL2,13
NFAT5,13
DNA2,13
MCF2L,13
PCDHGA11,13
PPL,13
TLR8,13
